Total images: 18594
Total colony/year combos: 1041

Colony                                             Year   Count
Biloxi_South_10_C                                  2011   13
Biloxi_South_10_D                                  2018   13
Biloxi_South_11                                    2012   13
Biloxi_South_14                                    2012   13
Biloxi_South_5_B                                   2018   13
Birdsfoot_West_6_A                                 2021   13
Cat_Bay_North_Island                               2012   13
Cat_Island                                         2015   13
Deadman_Point                                      2018   13
Deadman_Point                                      2021   13
Door_Point_Lagoon_1                                2018   13
Drum_Bay_Islands_2                                 2010   13
Dry_Bread_Island                                   2018   13
Flag_Island_South                                  2012   13
Hell_Pass_Coast_C                                  2021   13
Manilla_Island                                     2010   13
Naval_Air_Station_Islands_E                        2021   13
Terrebonne_Bay_1                                   2015   13
Wine_Island                                        2011   13
Beauvoir                                           2011   12
Biloxi_North_10_E                                  2013   12
Biloxi_North_12                                    2012   12
Biloxi_North_14                                    2018   12
Biloxi_North_37                                    2018   12
Biloxi_South_14                                    2013   12
Biloxi_South_6                                     2018   12
Cat_Bay_North_Island                               2010   12
Chandeleur_North_G                                 2012   12
Chandeleur_South_A                                 2010   12
Chandeleur_South_D                                 2012   12
Chandeleur_South_D                                 2021   12
Chocoloskee_Bay_Islet                              2010   12
Curlew_Island                                      2018   12
Door_Point_Lagoon_2                                2018   12
Fricot_Bayou_Island                                2011   12
Fricot_Bayou_Island                                2012   12
Grand_Island_Point                                 2011   12
Grand_Island_Point                                 2012   12
Green_Island_Spoils_K                              2021   12
Little_McPherson_Bayou_Island                      2010   12
New_Harbor_Island_2                                2010   12
Rock_Island                                        2021   12
Texas_Coast_1                                      2010   12
West_Karako_Bay_Islet                              2012   12
Biloxi_North_10_D                                  2015   11
Biloxi_North_3                                     2018   11
Biloxi_North_3                                     2021   11
Biloxi_North_36                                    2015   11
Biloxi_North_4                                     2021   11
Birdsfoot_West_2                                   2010   11
Birdsfoot_West_3                                   2011   11
Chandeleur_North_D                                 2021   11
Chandeleur_North_F                                 2013   11
Clive_Key                                          2010   11
Gosier_Islands_South                               2011   11
Heron_Island                                       2021   11
Homosassa_Point_Key                                2010   11
Lake_Number_Five                                   2021   11
Little_Mud_Grass_Island_Northeast                  2021   11
New_Harbor_Island_1                                2018   11
Pine_Island_Sound_1                                2010   11
Saint_George_Causeway                              2012   11
Saint_Vincent_Island_Roost                         2010   11
Smith_Island                                       2013   11
White_Pelican_Island                               2021   11
Wolf_Lake_Skimmer_Area                             2010   11
Anderson_Point_Island                              2021   10
Audubon_Island                                     2015   10
Battery_McIntosh                                   2010   10
Bayou_Pintou                                       2013   10
Biloxi_North_10_A                                  2012   10
Biloxi_North_13                                    2011   10
Biloxi_North_40                                    2021   10
Biloxi_North_5                                     2021   10
Biloxi_South_1                                     2013   10
Biloxi_South_1                                     2015   10
Biloxi_South_1                                     2018   10
Biloxi_South_10_A                                  2010   10
Biloxi_South_10_D                                  2012   10
Biloxi_South_11                                    2011   10
Biloxi_South_5_B                                   2013   10
Biloxi_South_5_B                                   2021   10
Biloxi_South_9                                     2013   10
Cat_Island                                         2011   10
Chandeleur_South_C                                 2018   10
Flag_Island_South                                  2011   10
Gosier_Islands_North                               2015   10
Heron_Island                                       2018   10
Isle_au_Pitre                                      2013   10
Lake_Number_Five                                   2010   10
Manilla_Island                                     2011   10
Mendicant_Island                                   2021   10
Naval_Air_Station_Islands_P                        2021   10
Nueces_Causeway                                    2021   10
Redfish_Bend                                       2018   10
Saint_Martins_Key_B                                2010   10
Apalachicola_Bird_Island                           2012   9
Biloxi_North_10_A                                  2010   9
Biloxi_North_10_A                                  2018   9
Biloxi_North_16                                    2011   9
Biloxi_North_27                                    2010   9
Biloxi_North_27                                    2012   9
Biloxi_North_27                                    2015   9
Biloxi_North_3                                     2015   9
Biloxi_North_5                                     2018   9
Biloxi_North_7                                     2013   9
Biloxi_South_10_A                                  2013   9
Biloxi_South_10_B                                  2015   9
Biloxi_South_10_C                                  2010   9
Biloxi_South_10_D                                  2013   9
Biloxi_South_5_A                                   2012   9
Biloxi_South_9                                     2015   9
Birdsfoot_West_3                                   2015   9
Bird_Island_Birdsfoot                              2010   9
Cat_Bay_Island                                     2012   9
Cat_Bay_North_Island                               2013   9
Chandeleur_North_A                                 2021   9
Chandeleur_North_B                                 2015   9
Drum_Bay_Islands_5                                 2010   9
Heron_Island                                       2012   9
Jigsaw_Island                                      2010   9
Lake_Number_Five                                   2013   9
Little_Mud_Grass_Island_Northeast                  2010   9
Naval_Air_Station_Islands_F                        2021   9
New_Harbor_Island_2                                2015   9
Pelican_Island                                     2011   9
Second_Chain_of_Islands_G                          2010   9
West_Nueces_Bay_51W_P                              2021   9
Bayou_Platte_Island_South                          2015   8
Bay_Joyeux_Islettes                                2021   8
Biloxi_North_10_A                                  2011   8
Biloxi_North_10_B                                  2010   8
Biloxi_North_13                                    2013   8
Biloxi_North_26                                    2011   8
Biloxi_North_26                                    2012   8
Biloxi_North_27                                    2021   8
Biloxi_North_3                                     2013   8
Biloxi_North_36                                    2018   8
Biloxi_North_4                                     2018   8
Biloxi_North_5                                     2013   8
Biloxi_South_10_C                                  2013   8
Biloxi_South_4_A                                   2011   8
Biloxi_South_4_B                                   2013   8
Biloxi_South_5_B                                   2010   8
Birdsfoot_West_3                                   2013   8
Birdsfoot_West_5                                   2015   8
Cat_Bay_South_Island                               2010   8
Cat_Island                                         2012   8
Chandeleur_North_A                                 2013   8
Chandeleur_North_A                                 2015   8
Chandeleur_North_B                                 2021   8
Chandeleur_North_C                                 2018   8
Chandeleur_North_E                                 2012   8
Chandeleur_South_C                                 2021   8
Dog_Leg_Key                                        2010   8
Door_Point_Lagoon_1                                2021   8
Flag_Island_South                                  2013   8
Flag_Island_South                                  2015   8
Green_Island_Spoils_D                              2021   8
Gunn_Island                                        2018   8
Hell_Pass_Coast_A                                  2018   8
Hell_Pass_Coast_D                                  2010   8
Horn_Island                                        2010   8
Kamey_Island                                       2010   8
Martin_Island                                      2018   8
